bom_id,vin
BOM-AIR-INF-01,WBA00000000000040
BOM-AIR-INF-01,WBA00000000000049
BOM-AIR-INF-01,WBA00000000000067
BOM-AIR-INF-01,WBA00000000000069
BOM-AIR-INF-01,WBA00000000000071
BOM-AIR-INF-01,WBA00000000000084
BOM-AIR-INF-01,WBA00000000000094
BOM-AIR-INF-01,WBA00000000000123
BOM-AIR-INF-01,WBA00000000000124
BOM-AIR-INF-01,WBA00000000000161
BOM-AIR-INF-01,WBA00000000000186
BOM-AIR-INF-01,WBA00000000000191
BOM-AIR-INF-01,WBA00000000000195
BOM-AIR-INF-01,WBA00000000000203
BOM-AIR-INF-01,WBA00000000000214
BOM-AIR-INF-01,WBA00000000000257
BOM-AIR-INF-01,WBA00000000000299
BOM-EGR-COL-01,WBA00000000000001
BOM-EGR-COL-01,WBA00000000000014
BOM-EGR-COL-01,WBA00000000000015
BOM-EGR-COL-01,WBA00000000000017
BOM-EGR-COL-01,WBA00000000000022
BOM-EGR-COL-01,WBA00000000000026
BOM-EGR-COL-01,WBA00000000000027
BOM-EGR-COL-01,WBA00000000000050
BOM-EGR-COL-01,WBA00000000000051
BOM-EGR-COL-01,WBA00000000000061
BOM-EGR-COL-01,WBA00000000000068
BOM-EGR-COL-01,WBA00000000000076
BOM-EGR-COL-01,WBA00000000000077
BOM-EGR-COL-01,WBA00000000000091
BOM-EGR-COL-01,WBA00000000000092
BOM-EGR-COL-01,WBA00000000000099
BOM-EGR-COL-01,WBA00000000000105
BOM-EGR-COL-01,WBA00000000000107
BOM-EGR-COL-01,WBA00000000000114
BOM-EGR-COL-01,WBA00000000000120
BOM-EGR-COL-01,WBA00000000000121
BOM-EGR-COL-01,WBA00000000000122
BOM-EGR-COL-01,WBA00000000000129
BOM-EGR-COL-01,WBA00000000000131
BOM-EGR-COL-01,WBA00000000000132
BOM-EGR-COL-01,WBA00000000000133
BOM-EGR-COL-01,WBA00000000000134
BOM-EGR-COL-01,WBA00000000000146
BOM-EGR-COL-01,WBA00000000000148
BOM-EGR-COL-01,WBA00000000000180
BOM-EGR-COL-01,WBA00000000000183
BOM-EGR-COL-01,WBA00000000000190
BOM-EGR-COL-01,WBA00000000000194
BOM-EGR-COL-01,WBA00000000000202
BOM-EGR-COL-01,WBA00000000000208
BOM-EGR-COL-01,WBA00000000000212
BOM-EGR-COL-01,WBA00000000000218
BOM-EGR-COL-01,WBA00000000000219
BOM-EGR-COL-01,WBA00000000000220
BOM-EGR-COL-01,WBA00000000000240
BOM-EGR-COL-01,WBA00000000000243
BOM-EGR-COL-01,WBA00000000000244
BOM-EGR-COL-01,WBA00000000000251
BOM-EGR-COL-01,WBA00000000000256
BOM-EGR-COL-01,WBA00000000000264
BOM-EGR-COL-01,WBA00000000000265
BOM-EGR-COL-01,WBA00000000000267
BOM-EGR-COL-01,WBA00000000000277
BOM-EGR-COL-01,WBA00000000000289
BOM-EGR-COL-01,WBAEXT00008
BOM-HEL-LED-01,WBA00000000000007
BOM-HEL-LED-01,WBA00000000000009
BOM-HEL-LED-01,WBA00000000000018
BOM-HEL-LED-01,WBA00000000000023
BOM-HEL-LED-01,WBA00000000000035
BOM-HEL-LED-01,WBA00000000000036
BOM-HEL-LED-01,WBA00000000000037
BOM-HEL-LED-01,WBA00000000000047
BOM-HEL-LED-01,WBA00000000000048
BOM-HEL-LED-01,WBA00000000000058
BOM-HEL-LED-01,WBA00000000000073
BOM-HEL-LED-01,WBA00000000000078
BOM-HEL-LED-01,WBA00000000000081
BOM-HEL-LED-01,WBA00000000000095
BOM-HEL-LED-01,WBA00000000000098
BOM-HEL-LED-01,WBA00000000000109
BOM-HEL-LED-01,WBA00000000000116
BOM-HEL-LED-01,WBA00000000000130
BOM-HEL-LED-01,WBA00000000000135
BOM-HEL-LED-01,WBA00000000000139
BOM-HEL-LED-01,WBA00000000000153
BOM-HEL-LED-01,WBA00000000000155
BOM-HEL-LED-01,WBA00000000000157
BOM-HEL-LED-01,WBA00000000000164
BOM-HEL-LED-01,WBA00000000000172
BOM-HEL-LED-01,WBA00000000000175
BOM-HEL-LED-01,WBA00000000000176
BOM-HEL-LED-01,WBA00000000000177
BOM-HEL-LED-01,WBA00000000000184
BOM-HEL-LED-01,WBA00000000000189
BOM-HEL-LED-01,WBA00000000000199
BOM-HEL-LED-01,WBA00000000000200
BOM-HEL-LED-01,WBA00000000000204
BOM-HEL-LED-01,WBA00000000000217
BOM-HEL-LED-01,WBA00000000000221
BOM-HEL-LED-01,WBA00000000000225
BOM-HEL-LED-01,WBA00000000000227
BOM-HEL-LED-01,WBA00000000000229
BOM-HEL-LED-01,WBA00000000000230
BOM-HEL-LED-01,WBA00000000000236
BOM-HEL-LED-01,WBA00000000000237
BOM-HEL-LED-01,WBA00000000000241
BOM-HEL-LED-01,WBA00000000000248
BOM-HEL-LED-01,WBA00000000000250
BOM-HEL-LED-01,WBA00000000000258
BOM-HEL-LED-01,WBA00000000000259
BOM-HEL-LED-01,WBA00000000000260
BOM-HEL-LED-01,WBA00000000000262
BOM-HEL-LED-01,WBA00000000000266
BOM-HEL-LED-01,WBA00000000000274
BOM-HEL-LED-01,WBA00000000000275
BOM-HEL-LED-01,WBA00000000000276
BOM-HEL-LED-01,WBA00000000000284
BOM-HEL-LED-01,WBA00000000000291
BOM-HEL-LED-01,WBA00000000000294
BOM-HEL-LED-01,WBA00000000000296
BOM-HEL-LED-01,WBA00000000000297
BOM-HEL-LED-01,WBA5G30PHEV17A
BOM-HEL-LED-01,WBA5G30PHEV18A
BOM-HEL-LED-01,WBA5G30PHEV18B
BOM-HEL-LED-01,WBA5G30PHEV19A
BOM-HEL-LED-01,WBA5G30PHEV19B
BOM-HEL-LED-01,WBA5G30PHEV20B
BOM-HEL-LED-01,WBA5G30PHEV20C
BOM-HEL-LED-01,WBA5G30PHEV21C
BOM-HEL-LED-01,WBA5G30PHEV21D
BOM-HEL-LED-01,WBA5G30PHEV22D
BOM-HEL-LED-01,WBA5G30PHEV22E
BOM-HEL-LED-01,WBA5G30PHEV23E
BOM-HEL-LED-01,WBA5G30PHEV23F
BOM-HEL-LED-01,WBA5G30PHEV24G
BOM-HEL-LED-01,WBA5G30PHEV24H
BOM-HEL-LED-01,WBA5G30PHEV25A
BOM-HEL-LED-01,WBA5G30PHEV25B
BOM-HEL-LED-01,WBAEXT00007
BOM-HVB-BMS-01,WBA00000000000007
BOM-HVB-BMS-01,WBA00000000000009
BOM-HVB-BMS-01,WBA00000000000018
BOM-HVB-BMS-01,WBA00000000000023
BOM-HVB-BMS-01,WBA00000000000035
BOM-HVB-BMS-01,WBA00000000000036
BOM-HVB-BMS-01,WBA00000000000037
BOM-HVB-BMS-01,WBA00000000000047
BOM-HVB-BMS-01,WBA00000000000048
BOM-HVB-BMS-01,WBA00000000000058
BOM-HVB-BMS-01,WBA00000000000073
BOM-HVB-BMS-01,WBA00000000000078
BOM-HVB-BMS-01,WBA00000000000081
BOM-HVB-BMS-01,WBA00000000000095
BOM-HVB-BMS-01,WBA00000000000098
BOM-HVB-BMS-01,WBA00000000000109
BOM-HVB-BMS-01,WBA00000000000116
BOM-HVB-BMS-01,WBA00000000000130
BOM-HVB-BMS-01,WBA00000000000135
BOM-HVB-BMS-01,WBA00000000000139
BOM-HVB-BMS-01,WBA00000000000153
BOM-HVB-BMS-01,WBA00000000000155
BOM-HVB-BMS-01,WBA00000000000157
BOM-HVB-BMS-01,WBA00000000000164
BOM-HVB-BMS-01,WBA00000000000175
BOM-HVB-BMS-01,WBA00000000000176
BOM-HVB-BMS-01,WBA00000000000177
BOM-HVB-BMS-01,WBA00000000000184
BOM-HVB-BMS-01,WBA00000000000189
BOM-HVB-BMS-01,WBA00000000000199
BOM-HVB-BMS-01,WBA00000000000200
BOM-HVB-BMS-01,WBA00000000000204
BOM-HVB-BMS-01,WBA00000000000217
BOM-HVB-BMS-01,WBA00000000000221
BOM-HVB-BMS-01,WBA00000000000227
BOM-HVB-BMS-01,WBA00000000000229
BOM-HVB-BMS-01,WBA00000000000230
BOM-HVB-BMS-01,WBA00000000000236
BOM-HVB-BMS-01,WBA00000000000237
BOM-HVB-BMS-01,WBA00000000000241
BOM-HVB-BMS-01,WBA00000000000248
BOM-HVB-BMS-01,WBA00000000000250
BOM-HVB-BMS-01,WBA00000000000258
BOM-HVB-BMS-01,WBA00000000000259
BOM-HVB-BMS-01,WBA00000000000260
BOM-HVB-BMS-01,WBA00000000000262
BOM-HVB-BMS-01,WBA00000000000266
BOM-HVB-BMS-01,WBA00000000000275
BOM-HVB-BMS-01,WBA00000000000276
BOM-HVB-BMS-01,WBA00000000000284
BOM-HVB-BMS-01,WBA00000000000291
BOM-HVB-BMS-01,WBA00000000000296
BOM-HVB-BMS-01,WBA5G30PHEV17A
BOM-HVB-BMS-01,WBA5G30PHEV18A
BOM-HVB-BMS-01,WBA5G30PHEV18B
BOM-HVB-BMS-01,WBA5G30PHEV19A
BOM-HVB-BMS-01,WBA5G30PHEV19B
BOM-HVB-BMS-01,WBA5G30PHEV20B
BOM-HVB-BMS-01,WBA5G30PHEV20C
BOM-HVB-BMS-01,WBA5G30PHEV21C
BOM-HVB-BMS-01,WBA5G30PHEV21D
BOM-HVB-BMS-01,WBA5G30PHEV22D
BOM-HVB-BMS-01,WBA5G30PHEV22E
BOM-HVB-BMS-01,WBA5G30PHEV23E
BOM-HVB-BMS-01,WBA5G30PHEV23F
BOM-HVB-BMS-01,WBA5G30PHEV24G
BOM-HVB-BMS-01,WBA5G30PHEV24H
BOM-HVB-DIN-01,WBA00000000000007
BOM-HVB-DIN-01,WBA00000000000023
BOM-HVB-DIN-01,WBA00000000000035
BOM-HVB-DIN-01,WBA00000000000036
BOM-HVB-DIN-01,WBA00000000000048
BOM-HVB-DIN-01,WBA00000000000058
BOM-HVB-DIN-01,WBA00000000000073
BOM-HVB-DIN-01,WBA00000000000078
BOM-HVB-DIN-01,WBA00000000000081
BOM-HVB-DIN-01,WBA00000000000098
BOM-HVB-DIN-01,WBA00000000000116
BOM-HVB-DIN-01,WBA00000000000130
BOM-HVB-DIN-01,WBA00000000000153
BOM-HVB-DIN-01,WBA00000000000157
BOM-HVB-DIN-01,WBA00000000000164
BOM-HVB-DIN-01,WBA00000000000175
BOM-HVB-DIN-01,WBA00000000000176
BOM-HVB-DIN-01,WBA00000000000177
BOM-HVB-DIN-01,WBA00000000000189
BOM-HVB-DIN-01,WBA00000000000200
BOM-HVB-DIN-01,WBA00000000000217
BOM-HVB-DIN-01,WBA00000000000221
BOM-HVB-DIN-01,WBA00000000000229
BOM-HVB-DIN-01,WBA00000000000230
BOM-HVB-DIN-01,WBA00000000000237
BOM-HVB-DIN-01,WBA00000000000260
BOM-HVB-DIN-01,WBA00000000000262
BOM-HVB-DIN-01,WBA00000000000275
BOM-HVB-DIN-01,WBA00000000000276
BOM-HVB-DIN-01,WBA00000000000284
BOM-HVB-DIN-01,WBA00000000000291
BOM-HVB-DIN-01,WBA00000000000296
BOM-IBS-MUN-01,WBA00000000000029
BOM-IBS-MUN-01,WBA00000000000064
BOM-IBS-MUN-01,WBA00000000000086
BOM-IBS-MUN-01,WBA00000000000100
BOM-IBS-MUN-01,WBA00000000000112
BOM-IBS-MUN-01,WBA00000000000126
BOM-IBS-MUN-01,WBA00000000000141
