recall_id,vin,campaign_id,status,announced_on,notified_on,closed_on,age_days_at_demo,mileage_at_assign,sla_breached
REC-000001,WBA00000000000001,IBS-2024-A,Open,2025-11-15,2025-11-30,,176,214084,FALSE
REC-000002,WBA00000000000014,IBS-2024-A,Open,2025-11-15,2025-12-11,,165,14162,FALSE
REC-000003,WBA00000000000015,IBS-2024-A,In Progress,2025-11-15,2025-12-06,,170,70923,FALSE
REC-000004,WBA00000000000017,IBS-2024-A,In Progress,2025-11-15,2025-12-01,,175,8228,FALSE
REC-000005,WBA00000000000022,IBS-2024-A,In Progress,2025-11-15,2025-11-26,,180,100442,FALSE
REC-000006,WBA00000000000026,IBS-2024-A,Open,2025-11-15,2025-12-02,,174,50210,FALSE
REC-000007,WBA00000000000027,IBS-2024-A,Closed,2025-11-15,2025-12-09,2026-03-18,167,138716,FALSE
REC-000008,WBA00000000000029,IBS-2024-A,Open,2025-11-15,2026-03-31,,55,5358,FALSE
REC-000009,WBA00000000000050,IBS-2024-A,Open,2025-11-15,2025-11-21,,185,65368,TRUE
REC-000010,WBA00000000000051,IBS-2024-A,Closed,2025-11-15,2025-12-21,2026-02-18,155,197606,FALSE
REC-000011,WBA00000000000061,IBS-2024-A,Open,2025-11-15,2025-11-18,,188,66363,TRUE
REC-000012,WBA00000000000064,IBS-2024-A,Closed,2025-11-15,2026-05-25,2026-05-18,0,112826,FALSE
REC-000013,WBA00000000000068,IBS-2024-A,Open,2025-11-15,2025-11-24,,182,105013,TRUE
REC-000014,WBA00000000000076,IBS-2024-A,Open,2025-11-15,2025-12-30,,146,183340,FALSE
REC-000015,WBA00000000000077,IBS-2024-A,Open,2025-11-15,2025-12-07,,169,105002,FALSE
REC-000016,WBA00000000000086,IBS-2024-A,Open,2025-11-15,2025-12-25,,151,114803,FALSE
REC-000017,WBA00000000000091,IBS-2024-A,Closed,2025-11-15,2025-12-13,2026-01-31,163,72391,FALSE
REC-000018,WBA00000000000092,IBS-2024-A,Open,2025-11-15,2025-11-29,,177,8085,FALSE
REC-000019,WBA00000000000099,IBS-2024-A,Closed,2025-11-15,2025-11-23,2026-02-03,183,20379,FALSE
REC-000020,WBA00000000000100,IBS-2024-A,Open,2025-11-15,2025-12-04,,172,15119,FALSE
REC-000021,WBA00000000000105,IBS-2024-A,Open,2025-11-15,2025-12-02,,174,71580,FALSE
REC-000022,WBA00000000000107,IBS-2024-A,Closed,2025-11-15,2025-12-04,2026-02-03,172,210394,FALSE
REC-000023,WBA00000000000112,IBS-2024-A,Closed,2025-11-15,2025-12-13,2026-04-30,163,97994,FALSE
REC-000024,WBA00000000000114,IBS-2024-A,Open,2025-11-15,2025-11-18,,188,79372,TRUE
REC-000025,WBA00000000000120,IBS-2024-A,Open,2025-11-15,2025-11-30,,176,19592,FALSE
REC-000026,WBA00000000000121,IBS-2024-A,Open,2025-11-15,2025-12-10,,166,216819,FALSE
REC-000027,WBA00000000000122,IBS-2024-A,Closed,2025-11-15,2025-12-07,2026-01-18,169,163182,FALSE
REC-000028,WBA00000000000126,IBS-2024-A,Open,2025-11-15,2025-12-08,,168,11816,FALSE
REC-000029,WBA00000000000129,IBS-2024-A,Open,2025-11-15,2025-11-30,,176,17926,FALSE
REC-000030,WBA00000000000131,IBS-2024-A,Closed,2025-11-15,2025-12-02,2026-04-15,174,12385,FALSE
REC-000031,WBA00000000000132,IBS-2024-A,Open,2025-11-15,2025-12-10,,166,24045,FALSE
REC-000032,WBA00000000000133,IBS-2024-A,Open,2025-11-15,2025-12-12,,164,74900,FALSE
REC-000033,WBA00000000000134,IBS-2024-A,Open,2025-11-15,2026-01-12,,133,160087,FALSE
REC-000034,WBA00000000000141,IBS-2024-A,Open,2025-11-15,2025-11-28,,178,4704,FALSE
REC-000035,WBA00000000000146,IBS-2024-A,Closed,2025-11-15,2025-12-11,2026-01-09,165,129544,FALSE
REC-000036,WBA00000000000147,IBS-2024-A,Open,2025-11-15,2025-11-26,,180,76191,FALSE
REC-000037,WBA00000000000148,IBS-2024-A,Open,2025-11-15,2025-12-03,,173,1453,FALSE
REC-000038,WBA00000000000149,IBS-2024-A,Open,2025-11-15,2025-12-21,,155,118053,FALSE
REC-000039,WBA00000000000179,IBS-2024-A,Open,2025-11-15,2025-11-22,,184,59042,TRUE
REC-000040,WBA00000000000180,IBS-2024-A,Closed,2025-11-15,2025-11-28,2026-01-03,178,116350,FALSE
REC-000041,WBA00000000000183,IBS-2024-A,Open,2025-11-15,2026-02-02,,112,13816,FALSE
REC-000042,WBA00000000000190,IBS-2024-A,Open,2025-11-15,2025-12-19,,157,117965,FALSE
REC-000043,WBA00000000000194,IBS-2024-A,Closed,2025-11-15,2025-11-29,2025-12-30,177,112406,FALSE
REC-000044,WBA00000000000202,IBS-2024-A,Open,2025-11-15,2025-12-09,,167,9932,FALSE
REC-000045,WBA00000000000208,IBS-2024-A,Open,2025-11-15,2026-01-07,,138,77139,FALSE
REC-000046,WBA00000000000212,IBS-2024-A,Closed,2025-11-15,2025-12-12,2026-02-26,164,79941,FALSE
REC-000047,WBA00000000000218,IBS-2024-A,Open,2025-11-15,2026-02-03,,111,238101,FALSE
REC-000048,WBA00000000000219,IBS-2024-A,Closed,2025-11-15,2025-12-08,2026-05-04,168,22837,FALSE
REC-000049,WBA00000000000220,IBS-2024-A,Open,2025-11-15,2026-02-07,,107,208548,FALSE
REC-000050,WBA00000000000226,IBS-2024-A,In Progress,2025-11-15,2025-11-26,,180,601,FALSE
REC-000051,WBA00000000000228,IBS-2024-A,In Progress,2025-11-15,2025-11-28,,178,33357,FALSE
REC-000052,WBA00000000000240,IBS-2024-A,Open,2025-11-15,2025-11-22,,184,104564,TRUE
REC-000053,WBA00000000000243,IBS-2024-A,Open,2025-11-15,2025-11-22,,184,108481,TRUE
REC-000054,WBA00000000000244,IBS-2024-A,In Progress,2025-11-15,2026-02-25,,89,111180,FALSE
REC-000055,WBA00000000000247,IBS-2024-A,In Progress,2025-11-15,2025-12-01,,175,51561,FALSE
REC-000056,WBA00000000000249,IBS-2024-A,Closed,2025-11-15,2025-11-28,2026-04-27,178,9792,FALSE
REC-000057,WBA00000000000251,IBS-2024-A,Open,2025-11-15,2025-12-25,,151,86447,FALSE
REC-000058,WBA00000000000256,IBS-2024-A,Open,2025-11-15,2025-12-09,,167,95230,FALSE
REC-000059,WBA00000000000263,IBS-2024-A,Open,2025-11-15,2025-12-01,,175,38558,FALSE
REC-000060,WBA00000000000264,IBS-2024-A,Closed,2025-11-15,2025-12-12,2026-04-27,164,100188,FALSE
REC-000061,WBA00000000000265,IBS-2024-A,Open,2025-11-15,2025-11-27,,179,128715,FALSE
REC-000062,WBA00000000000267,IBS-2024-A,Closed,2025-11-15,2025-11-27,2025-12-13,179,217788,FALSE
REC-000063,WBA00000000000277,IBS-2024-A,Open,2025-11-15,2026-02-21,,93,7205,FALSE
REC-000064,WBA00000000000278,IBS-2024-A,Open,2025-11-15,2025-11-24,,182,105521,TRUE
REC-000065,WBA00000000000281,IBS-2024-A,In Progress,2025-11-15,2025-11-27,,179,10486,FALSE
REC-000066,WBA00000000000289,IBS-2024-A,Open,2025-11-15,2025-12-11,,165,88121,FALSE
REC-000067,WBAEXT00008,IBS-2024-A,Open,2025-11-15,2025-12-05,,171,0,FALSE
REC-000068,WBA00000000000007,HVB-2024-A,In Progress,2026-03-15,2026-04-13,,42,37626,FALSE
REC-000069,WBA00000000000009,HVB-2024-A,Open,2026-03-15,2026-03-30,,56,116982,FALSE
REC-000070,WBA00000000000018,HVB-2024-A,In Progress,2026-03-15,2026-03-18,,68,11702,FALSE
REC-000071,WBA00000000000023,HVB-2024-A,Open,2026-03-15,2026-03-28,,58,85609,FALSE
REC-000072,WBA00000000000035,HVB-2024-A,Closed,2026-03-15,2026-03-31,2026-04-23,55,135029,FALSE
REC-000073,WBA00000000000036,HVB-2024-A,Open,2026-03-15,2026-03-28,,58,115729,FALSE
REC-000074,WBA00000000000037,HVB-2024-A,Open,2026-03-15,2026-04-09,,46,82561,FALSE
REC-000075,WBA00000000000047,HVB-2024-A,Closed,2026-03-15,2026-04-14,2026-04-25,41,114742,FALSE
REC-000076,WBA00000000000048,HVB-2024-A,Open,2026-03-15,2026-04-03,,52,29506,FALSE
REC-000077,WBA00000000000058,HVB-2024-A,Open,2026-03-15,2026-05-19,,6,216497,FALSE
REC-000078,WBA00000000000073,HVB-2024-A,Open,2026-03-15,2026-03-20,,66,84452,TRUE
REC-000079,WBA00000000000078,HVB-2024-A,Open,2026-03-15,2026-04-03,,52,7892,FALSE
REC-000080,WBA00000000000081,HVB-2024-A,Open,2026-03-15,2026-04-13,,42,138029,FALSE
REC-000081,WBA00000000000095,HVB-2024-A,Open,2026-03-15,2026-03-21,,65,134220,TRUE
REC-000082,WBA00000000000098,HVB-2024-A,Open,2026-03-15,2026-04-06,,49,38423,FALSE
REC-000083,WBA00000000000109,HVB-2024-A,Open,2026-03-15,2026-03-20,,66,51671,TRUE
REC-000084,WBA00000000000116,HVB-2024-A,Open,2026-03-15,2026-04-02,,53,57930,FALSE
REC-000085,WBA00000000000130,HVB-2024-A,Open,2026-03-15,2026-04-05,,50,143162,FALSE
REC-000086,WBA00000000000135,HVB-2024-A,Open,2026-03-15,2026-05-21,,4,50948,FALSE
REC-000087,WBA00000000000139,HVB-2024-A,Open,2026-03-15,2026-04-07,,48,96802,FALSE
REC-000088,WBA00000000000153,HVB-2024-A,Open,2026-03-15,2026-04-02,,53,143096,FALSE
REC-000089,WBA00000000000155,HVB-2024-A,Open,2026-03-15,2026-03-26,,60,105776,FALSE
REC-000090,WBA00000000000157,HVB-2024-A,Closed,2026-03-15,2026-04-01,2026-05-04,54,119160,FALSE
REC-000091,WBA00000000000164,HVB-2024-A,Open,2026-03-15,2026-03-27,,59,70475,FALSE
REC-000092,WBA00000000000175,HVB-2024-A,Open,2026-03-15,2026-05-23,,2,131611,FALSE
REC-000093,WBA00000000000176,HVB-2024-A,Open,2026-03-15,2026-04-01,,54,190994,FALSE
REC-000094,WBA00000000000177,HVB-2024-A,Open,2026-03-15,2026-05-17,,8,87579,FALSE
REC-000095,WBA00000000000184,HVB-2024-A,Closed,2026-03-15,2026-04-06,2026-05-11,49,15178,FALSE
REC-000096,WBA00000000000189,HVB-2024-A,Open,2026-03-15,2026-05-23,,2,10658,FALSE
REC-000097,WBA00000000000199,HVB-2024-A,In Progress,2026-03-15,2026-05-23,,2,112166,FALSE
REC-000098,WBA00000000000200,HVB-2024-A,Open,2026-03-15,2026-03-25,,61,203638,TRUE
REC-000099,WBA00000000000204,HVB-2024-A,In Progress,2026-03-15,2026-04-06,,49,14579,FALSE
REC-000100,WBA00000000000217,HVB-2024-A,Open,2026-03-15,2026-03-27,,59,91508,FALSE
REC-000101,WBA00000000000221,HVB-2024-A,Open,2026-03-15,2026-04-08,,47,85329,FALSE
REC-000102,WBA00000000000227,HVB-2024-A,Open,2026-03-15,2026-04-07,,48,20420,FALSE
REC-000103,WBA00000000000229,HVB-2024-A,Open,2026-03-15,2026-04-04,,51,149093,FALSE
REC-000104,WBA00000000000230,HVB-2024-A,Open,2026-03-15,2026-04-10,,45,20011,FALSE
REC-000105,WBA00000000000236,HVB-2024-A,In Progress,2026-03-15,2026-03-22,,64,228090,FALSE
REC-000106,WBA00000000000237,HVB-2024-A,Open,2026-03-15,2026-03-22,,64,119228,TRUE
REC-000107,WBA00000000000241,HVB-2024-A,Closed,2026-03-15,2026-04-07,2026-05-03,48,45880,FALSE
REC-000108,WBA00000000000248,HVB-2024-A,Open,2026-03-15,2026-03-20,,66,41662,TRUE
REC-000109,WBA00000000000250,HVB-2024-A,Open,2026-03-15,2026-04-12,,43,69756,FALSE
REC-000110,WBA00000000000258,HVB-2024-A,Closed,2026-03-15,2026-04-10,2026-04-25,45,73239,FALSE
REC-000111,WBA00000000000259,HVB-2024-A,Open,2026-03-15,2026-03-31,,55,78958,FALSE
REC-000112,WBA00000000000260,HVB-2024-A,Open,2026-03-15,2026-03-27,,59,70420,FALSE
REC-000113,WBA00000000000262,HVB-2024-A,Closed,2026-03-15,2026-05-16,2026-05-17,9,116784,FALSE
REC-000114,WBA00000000000266,HVB-2024-A,Closed,2026-03-15,2026-03-27,2026-04-07,59,71191,FALSE
REC-000115,WBA00000000000275,HVB-2024-A,Open,2026-03-15,2026-04-10,,45,71627,FALSE
REC-000116,WBA00000000000276,HVB-2024-A,In Progress,2026-03-15,2026-03-28,,58,8223,FALSE
REC-000117,WBA00000000000284,HVB-2024-A,In Progress,2026-03-15,2026-04-06,,49,68225,FALSE
REC-000118,WBA00000000000291,HVB-2024-A,Closed,2026-03-15,2026-05-15,2026-05-01,10,123233,FALSE
