service_event_id,vin,service_date,service_type,service_centre,service_cost,warranty,notes
13414,WBA00000000000275,2021-04-09,Annual Service,BMW Leipzig Service,798.00,FALSE,Notes: routine
13415,WBA00000000000158,2020-03-13,Inspection,BMW Miami Service,475.00,FALSE,Notes: inspection
13416,WBA00000000000006,2021-01-15,Annual Service,BMW Leipzig Service,516.00,FALSE,Notes: inspection
13417,WBA00000000000266,2018-02-06,Brake Service,BMW Regensburg Service,1011.00,FALSE,Notes: software update
13418,WBA00000000000032,2020-07-30,Brake Service,BMW Los Angeles Service,0.00,TRUE,Notes: inspection
13419,WBA00000000000004,2021-11-17,Battery Service,BMW New York Service,548.00,FALSE,Notes: routine
13420,WBA00000000000297,2025-12-31,Inspection,BMW Frankfurt Service,238.00,FALSE,Notes: routine
13421,WBA00000000000089,2020-09-22,Oil Service,BMW Monterrey Service,917.00,FALSE,Notes: inspection
13422,WBA00000000000158,2020-09-30,Annual Service,BMW New York Service,0.00,TRUE,Notes: software update
13423,WBA00000000000100,2023-04-26,Oil Service,BMW Frankfurt Service,382.00,FALSE,Notes: software update
13424,WBA00000000000227,2023-03-06,Inspection,BMW Regensburg Service,380.00,FALSE,Notes: inspection
13425,WBA00000000000045,2024-05-20,Oil Service,BMW New York Service,576.00,FALSE,Notes: routine
13426,WBA00000000000002,2017-04-24,Annual Service,BMW Munich Service,316.00,FALSE,Notes: software update
13427,WBA00000000000282,2025-05-30,Oil Service,BMW New York Service,521.00,FALSE,Notes: inspection
13465,WBA00000000000037,2019-08-23,Battery Service,BMW Cologne Service,925.00,FALSE,Notes: routine
13466,WBA00000000000237,2024-08-17,Battery Service,BMW Berlin Service,729.00,FALSE,Notes: inspection
13467,WBA00000000000200,2020-07-13,Inspection,BMW Munich Service,0.00,TRUE,Notes: software update
13468,WBA00000000000153,2018-05-21,Annual Service,BMW Stuttgart Service,658.00,FALSE,Notes: routine
13469,WBA00000000000218,2019-10-15,Brake Service,BMW Hamburg Service,1026.00,FALSE,Notes: routine
