vin,serial_number,model,factory,engine_type,fuel_type,transmission,chassis_number,emission_standard,production_date,delivery_date,first_registration_date,mileage,fuel_consumption,accident_date,accident_type,repair_cost,service_records,recall_status_raw,previous_owners,power_output_kw,power_output_ps,owner_id,region_code,owner_country,nearest_centre_id,distance_to_nearest_centre_km
WBA00000000000107,SN180107,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050107,EURO 6e-bis,2022-01-01,2022-01-30,2022-02-06,210394,8.9,,,0.00,Up to date,Closed,0,221,300,OWN-00001,EU-WE,AT,SC-HAM,14
WBA00000000000218,SN170218,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050218,EURO 6e-bis,2022-01-01,2022-02-10,2022-01-27,238101,11.2,,,0.00,Up to date,Closed,3,221,300,OWN-00002,EU-DE,DE,SC-STU,43
WBA00000000000212,SN200212,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050212,EURO 6e-bis,2022-01-01,2022-01-18,2022-02-26,79941,10.7,,,0.00,Up to date,,0,221,300,OWN-00003,EU-WE,AT,SC-LAX,147
WBA00000000000148,SN240148,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050148,EURO 6e-bis,2024-04-25,2024-05-08,2024-06-20,1453,8.4,,,0.00,Up to date,,0,221,300,OWN-00002,EU-DE,DE,SC-STU,43
WBA00000000000180,SN150180,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050180,EURO 6e-bis,2022-01-01,2022-02-08,2022-01-15,116350,9.9,,,0.00,Up to date,Closed,0,221,300,OWN-00001,EU-WE,AT,SC-HAM,14
WBA00000000000132,SN190132,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050132,EURO 6e-bis,2022-01-01,2022-01-28,2022-02-04,24045,7.3,,,0.00,Up to date,Open,2,221,300,OWN-00006,EU-WE,NL,SC-MIA,14
WBA00000000000068,SN200068,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050068,EURO 6e-bis,2022-01-01,2022-01-12,2022-02-19,105013,8.2,2024-02-25,Collision,5534.00,Up to date,Open,2,221,300,OWN-00007,EU-WE,CH,SC-NYC,187
WBA00000000000146,SN160146,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050146,EURO 6e-bis,2022-01-01,2022-01-11,2022-01-10,129544,11.4,,,0.00,Up to date,,0,221,300,OWN-00008,EU-DE,DE,SC-BER,158
WBA00000000000190,SN210190,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050190,EURO 6e-bis,2022-01-01,2022-01-31,2022-02-12,117965,9.4,,,0.00,Partial,Open,1,221,300,OWN-00009,EU-DE,DE,SC-MUN,186
WBA00000000000277,SN240277,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050277,EURO 6e-bis,2024-06-27,2024-07-27,2024-08-26,7205,8.2,,,0.00,Up to date,,1,221,300,OWN-00010,EU-DE,DE,SC-MUN,63
WBA00000000000131,SN240131,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050131,EURO 6e-bis,2024-06-09,2024-06-30,2024-07-12,12385,10.0,,,0.00,Up to date,,1,221,300,OWN-00011,EU-DE,DE,SC-HAM,31
WBA00000000000017,SN240017,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050017,EURO 6e-bis,2024-03-02,2024-03-30,2024-04-25,8228,8.2,,,0.00,Up to date,,0,221,300,OWN-00012,EU-DE,DE,SC-LEI,162
WBA00000000000120,SN220120,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050120,EURO 6e-bis,2022-02-14,2022-03-14,2022-03-27,19592,10.8,,,0.00,Up to date,,2,221,300,OWN-00013,EU-DE,DE,SC-BER,145
WBA00000000000289,SN220289,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050289,EURO 6e-bis,2022-05-09,2022-05-28,2022-06-20,88121,10.5,,,0.00,Up to date,Open,2,221,300,OWN-00009,EU-DE,DE,SC-MUN,186
WBA00000000000244,SN170244,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050244,EURO 6e-bis,2022-01-01,2022-02-09,2022-02-01,111180,7.9,,,0.00,Up to date,,1,221,300,OWN-00007,EU-WE,CH,SC-NYC,187
WBA00000000000202,SN240202,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050202,EURO 6e-bis,2024-02-12,2024-02-21,2024-03-24,9932,6.6,2025-07-29,Collision,3696.00,Up to date,,0,221,300,OWN-00016,EU-WE,BE,SC-MTY,100
WBA00000000000178,SN250178,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050178,EURO 6e-bis,2025-10-27,2025-11-10,2025-11-26,10244,11.2,,,0.00,Partial,,0,221,300,OWN-00017,EU-WE,CH,SC-HAM,19
