VIN,SERIAL_NUMBER,MODEL,FACTORY_PRODUCTION_LOCATION,ENGINE_TYPE,FUEL_TYPE,TRANSMISSION,CHASSIS_NUMBER,EMISSION_STANDARD,PRODUCTION_DATE,DELIVERY_DATE,FIRST_REGISTRATION_DATE,CURRENT_OWNER,MILEAGE,FUEL_CONSUMPTION,ACCIDENT_DATE,ACCIDENT_TYPE,REPAIR_COST,SERVICE_RECORDS,RECALL_STATUS,PREVIOUS_OWNERS,POWER_OUTPUT_KW,POWER_OUTPUT_PS
WBA00000000000107,SN180107,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050107,EURO 6e-bis,2022-01-01,2022-01-30,2022-02-06,***MASKED***,210394,8.9,,,0.00,Up to date,Closed,0,221,300
WBA00000000000218,SN170218,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050218,EURO 6e-bis,2022-01-01,2022-02-10,2022-01-27,***MASKED***,238101,11.2,,,0.00,Up to date,Closed,3,221,300
WBA00000000000212,SN200212,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050212,EURO 6e-bis,2022-01-01,2022-01-18,2022-02-26,***MASKED***,79941,10.7,,,0.00,Up to date,,0,221,300
WBA00000000000148,SN240148,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050148,EURO 6e-bis,2024-04-25,2024-05-08,2024-06-20,***MASKED***,1453,8.4,,,0.00,Up to date,,0,221,300
WBA00000000000180,SN150180,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050180,EURO 6e-bis,2022-01-01,2022-02-08,2022-01-15,***MASKED***,116350,9.9,,,0.00,Up to date,Closed,0,221,300
WBA00000000000132,SN190132,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050132,EURO 6e-bis,2022-01-01,2022-01-28,2022-02-04,***MASKED***,24045,7.3,,,0.00,Up to date,Open,2,221,300
WBA00000000000068,SN200068,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050068,EURO 6e-bis,2022-01-01,2022-01-12,2022-02-19,***MASKED***,105013,8.2,2024-02-25,Collision,5534.00,Up to date,Open,2,221,300
WBA00000000000146,SN160146,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050146,EURO 6e-bis,2022-01-01,2022-01-11,2022-01-10,***MASKED***,129544,11.4,,,0.00,Up to date,,0,221,300
WBA00000000000190,SN210190,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050190,EURO 6e-bis,2022-01-01,2022-01-31,2022-02-12,***MASKED***,117965,9.4,,,0.00,Partial,Open,1,221,300
WBA00000000000277,SN240277,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050277,EURO 6e-bis,2024-06-27,2024-07-27,2024-08-26,***MASKED***,7205,8.2,,,0.00,Up to date,,1,221,300
WBA00000000000131,SN240131,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050131,EURO 6e-bis,2024-06-09,2024-06-30,2024-07-12,***MASKED***,12385,10.0,,,0.00,Up to date,,1,221,300
WBA00000000000017,SN240017,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050017,EURO 6e-bis,2024-03-02,2024-03-30,2024-04-25,***MASKED***,8228,8.2,,,0.00,Up to date,,0,221,300
WBA00000000000120,SN220120,X1 M35i xDrive (U11),Regensburg,"I4 turbo (B48, 300hp)",Petrol,Automatic,CH0000050120,EURO 6e-bis,2022-02-14,2022-03-14,2022-03-27,***MASKED***,19592,10.8,,,0.00,Up to date,,2,221,300
